Year,Agency,Fishery Name,Species,Source,Stat Week,Stat Area,AStream / Watershed Code,Harvest,Sample Date,Gear,Survey Site,#Rcvd,#Preps,Not Marked,Marked,%Marked,PORTARMSTRONG11,PORTARMSTRONG15,PORTARMSTRONG15A,PORTARMSTRONG15B,SJ09PINK,SJ10PINK,SJ11PINK,SJ12PINK,SJ13PINK,SJ14PINK,SJ15PINK,SJ19PINK
2021,ADFG,,PINK,RACK RETURN,36,11341,,,8/31/2021,NOT REQUIRED,SHELDON JACKSON HATCHERY,35,32,3,29,91,,,,,,,,,,,,29
2021,ADFG,,PINK,RACK RETURN,36,11341,,,9/3/2021,NOT REQUIRED,SHELDON JACKSON HATCHERY,32,31,31,0,0,,,,,,,,,,,,
2021 ADFG RACK RETURN PINK Total,,,,,,,,,,,,67,63,34,29,46.03%,0,0,0,0,0,0,0,0,0,0,0,29
2017,ADFG,,PINK,RACK RETURN,37,11341,,,9/15/2017,NOT REQUIRED,SHELDON JACKSON HATCHERY,17,14,6,8,57,,,,,,,,,,,8,
2017,ADFG,,PINK,RACK RETURN,38,11341,,,9/19/2017,NOT REQUIRED,SHELDON JACKSON HATCHERY,82,69,37,32,46,,4,5,1,,,,,,,22,
2017 ADFG RACK RETURN PINK Total,,,,,,,,,,,,99,83,43,40,48.19%,0,4,5,1,0,0,0,0,0,0,30,0
2016,ADFG,,PINK,RACK RETURN,36,11341,113-41-10190,,8/31/2016,NOT REQUIRED,SHELDON JACKSON HATCHERY,50,50,4,46,92,,,,,,,,,,46,,
2016 ADFG RACK RETURN PINK Total,,,,,,,,,,,,50,50,4,46,92.00%,0,0,0,0,0,0,0,0,0,46,0,0
2015,ADFG,,PINK,RACK RETURN,36,11341,,,9/5/2015,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,88,66,22,25,,,,,,,,,22,,,
2015 ADFG RACK RETURN PINK Total,,,,,,,,,,,,96,88,66,22,25.00%,0,0,0,0,0,0,0,0,22,0,0,0
2014,ADFG,,PINK,RACK RETURN,36,11341,,,9/2/2014,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,92,39,53,58,,,,,,,,53,,,,
2014 ADFG RACK RETURN PINK Total,,,,,,,,,,,,96,92,39,53,57.61%,0,0,0,0,0,0,0,53,0,0,0,0
2013,ADFG,,PINK,RACK RETURN,36,11341,,,9/2/2013,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,94,72,22,23,3,,,,,,19,,,,,
2013 ADFG RACK RETURN PINK Total,,,,,,,,,,,,96,94,72,22,23.40%,3,0,0,0,0,0,19,0,0,0,0,0
2012,ADFG,,PINK,RACK RETURN,37,11336,,,9/15/2012,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,94,77,17,18,,,,,,17,,,,,,
2012 ADFG RACK RETURN PINK Total,,,,,,,,,,,,96,94,77,17,18.09%,0,0,0,0,0,17,0,0,0,0,0,0
2011,ADFG,,PINK,RACK RETURN,38,11336,,,9/14/2011,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,94,86,8,9,,,,,8,,,,,,,
2011 ADFG RACK RETURN PINK Total,,,,,,,,,,,,96,94,86,8,8.51%,0,0,0,0,8,0,0,0,0,0,0,0
Grand Total,,,,,,,,,,,,696,658,421,237,36.02%,3,4,5,1,8,17,19,53,22,46,30,29
