Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec     Annual
1944	M	M	M	M	M	M	M	M	4.05	9.88	6.44	6.53	M
1945	4.17	6.51	10.19	4.45	0.79	4.62	8.78	2.43	15.53	17.14	3.98	6.16	84.75
1946	7.10	M	M	M	M	M	M	M	M	M	M	M	M
1947	M	M	M	9.12	M	M	M	M	M	M	13.62	9.73	M
1948	11.01	4.05	4.43	0.77	3.51	1.96	9.45	6.89	20.32	16.96	18.59	8.90	M
1949	9.30	2.52	5.96	5.59	3.85	7.61	2.21	4.31	10.56	15.40	13.23	5.52	86.06
1950	1.43	3.77	2.45	3.47	3.85	0.98	6.70	6.60	7.95	6.30	2.59	4.57	50.66
1951	3.10	2.86	4.82	7.02	2.73	5.56	2.43	4.11	7.15	7.06	6.67	5.19	58.70
1952	6.66	6.40	4.27	4.63	9.30	2.38	4.13	6.36	14.65	18.62	13.11	5.50	96.01
1953	4.13	9.10	7.76	3.01	1.99	1.23	1.74	9.46	8.78	14.94	6.32	15.12	83.58
1954	4.81	11.58	5.45	4.27	3.29	2.07	3.29	3.41	10.30	8.86	10.70	15.50	83.53
1955	10.99	10.83	13.37	2.82	7.32	3.63	2.28	8.76	8.76	13.20	4.51	5.78	92.25
1956	2.87	7.45	5.42	4.53	9.86	2.51	5.52	14.82	8.91	11.80	17.19	16.55	107.43
1957	3.14	7.03	3.43	8.79	2.82	2.25	4.34	3.10	8.84	9.06	19.29	7.98	80.07
1958	6.31	2.98	3.77	5.62	8.21	3.62	8.10	8.29	10.21	15.21	7.99	11.56	91.87
1959	3.44	8.33	9.01	7.15	5.11	1.34	12.27	10.01	8.61	10.50	15.45	14.24	105.46
1960	5.91	3.81	5.19	5.18	1.68	3.77	4.53	10.49	15.22	19.62	10.40	15.10	100.90
1961	9.83	8.38	5.94	11.16	4.00	6.26	8.83	19.51	10.91	18.94	9.87	9.33	122.96
1962	12.65	1.70	12.87	4.38	4.68	7.43	2.63	8.65	16.09	11.55	9.71	8.55	100.89
1963	15.76	8.69	7.82	5.34	3.69	8.12	3.37	2.44	10.49	13.11	8.47	9.22	96.52
1964	8.76	15.56	10.06	9.19	9.00	2.84	5.78	5.77	4.46	10.59	10.02	5.04	97.07
1965	11.48	5.20	2.17	4.38	6.21	7.55	2.33	6.18	5.40	15.92	2.95	7.78	77.55
1966	4.81	4.82	6.03	5.06	9.06	2.77	4.36	8.09	8.63	16.68	6.62	5.14	82.07
1967	5.50	6.66	2.62	2.72	4.22	2.35	4.54	7.46	13.10	13.37	11.54	5.81	79.89
1968	4.64	3.98	4.38	6.70	2.86	2.26	3.16	3.33	16.04	7.48	10.91	3.28	69.02
1969	1.62	1.30	6.20	1.94	3.35	1.97	9.54	6.03	6.25	6.35	13.07	7.05	64.67
1970	5.78	7.37	6.61	6.83	3.53	4.57	5.42	5.65	14.11	8.06	5.67	7.50	81.10
1971	9.19	5.71	2.86	3.67	4.36	2.18	2.41	5.02	7.95	9.97	7.09	4.82	65.23
1972	5.36	2.66	6.83	4.34	4.54	2.65	1.65	7.56	16.30	16.42	4.91	5.83	79.05
1973	6.48	4.46	5.19	3.24	4.03	2.21	3.38	8.23	5.05	12.27	1.67	3.91	60.12
1974	5.43	10.11	0.87	3.43	3.09	4.11	2.75	2.25	7.82	22.74	9.78	10.59	82.97
1975	4.79	3.99	4.43	4.30	4.17	4.38	5.35	5.29	14.27	7.18	3.73	7.09	68.97
1976	13.63	6.11	6.25	1.55	4.57	2.27	2.48	2.84	11.16	10.77	10.66	10.91	83.20
1977	6.35	8.05	7.15	8.23	1.55	2.96	2.09	1.72	9.22	13.05	8.86	4.17	73.40
1978	4.50	2.65	4.71	4.51	4.91	4.04	3.14	4.39	6.52	30.84	10.36	9.79	90.36
1979	4.67	2.06	7.66	2.17	4.67	3.63	6.07	3.76	7.81	16.00	9.02	12.94	80.46
1980	4.53	3.03	6.43	6.45	2.10	4.52	4.95	7.35	11.48	18.91	14.25	7.65	91.65
1981	8.21	7.11	5.07	4.33	2.05	4.05	5.18	8.32	16.60	12.74	12.95	4.32	90.93
1982	7.37	3.07	5.97	5.78	10.04	0.89	2.54	5.66	8.70	15.09	5.62	4.84	75.57
1983	9.43	4.88	2.80	9.60	9.52	2.19	2.56	16.82	12.86	15.00	4.08	2.25	91.99
1984	14.71	10.42	7.51	2.75	3.19	5.59	4.39	10.29	6.15	8.19	7.76	11.96	92.91
1985	12.69	14.91	8.91	7.58	5.42	5.71	3.41	5.75	8.91	12.11	5.02	13.15	103.57
1986	9.16	5.72	11.16	6.23	3.89	5.16	3.32	8.33	3.94	19.21	13.87	12.95	102.94
1987	9.97	7.19	5.07	6.86	5.36	6.98	4.32	4.75	20.59	17.80	12.07	13.70	114.66
1988	5.98	12.21	9.35	3.91	5.80	1.48	4.88	5.81	10.61	16.62	12.42	8.36	97.43
1989	11.37	0.23	1.92	1.14	4.26	2.12	2.43	2.43	11.91	9.16	13.46	11.50	71.93
1990	7.23	7.43	5.91	2.27	1.22	3.00	3.29	7.67	16.03	12.75	7.08	11.94	85.82
