Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec     Annual
1944	M	M	M	M	M	M	M	M	54.4	49.9	43.0	37.6	46.2
1945	40.0	39.5	38.5	41.9	51.6	52.4	54.8	56.2	52.9	46.4	35.7	M	46.4
1946	39.4	M	M	M	M	M	M	M	M	M	M	M	39.4
1947	M	M	M	42.0	M	M	M	M	M	M	42.2	38.4	40.9
1948	36.5	28.1	35.7	38.9	48.9	53.8	56.0	55.5	51.4	43.9	37.7	28.4	42.9
1949	33.1	28.4	39.1	41.1	45.7	48.6	53.5	55.3	54.0	45.9	43.9	29.7	43.2
1950	24.2	34.1	37.8	39.7	44.6	54.8	53.9	57.8	52.6	44.6	32.2	38.0	42.9
1951	30.4	32.4	31.2	40.6	46.9	51.5	58.1	56.9	54.5	43.4	39.1	32.1	43.1
1952	27.5	35.6	36.0	40.0	45.9	51.4	55.6	57.9	53.1	48.9	42.8	39.7	44.5
1953	28.6	38.0	36.5	44.4	48.4	53.8	58.5	58.2	53.0	47.2	40.7	39.2	45.5
1954	30.3	31.1	36.5	37.2	47.6	52.4	54.0	57.7	54.6	46.9	43.9	34.6	43.9
1955	38.3	35.2	34.1	39.6	43.3	49.5	55.3	53.5	50.9	43.0	32.7	28.7	42.0
1956	31.2	29.2	34.4	41.2	46.8	50.5	55.5	56.0	51.3	41.4	42.3	33.8	42.8
1957	31.4	33.8	38.7	41.0	48.3	52.8	55.8	59.7	56.6	47.8	44.1	35.0	45.4
1958	39.5	38.7	38.2	45.2	48.6	54.9	58.2	57.0	51.2	45.1	38.5	37.8	46.1
1959	33.0	36.0	36.8	41.9	48.0	54.5	55.0	55.6	51.4	45.2	39.8	38.1	44.6
1960	36.1	38.4	37.7	43.3	49.3	51.0	55.5	55.2	51.7	47.1	40.1	39.9	45.4
1961	39.2	37.9	39.1	41.7	49.3	52.0	56.1	56.7	52.3	44.3	36.7	33.5	44.9
1962	35.4	35.7	35.6	41.9	45.9	50.3	55.7	57.3	52.8	48.0	43.1	38.2	45.0
1963	36.5	41.7	37.7	41.2	49.5	50.6	56.4	58.5	56.3	48.1	34.8	39.5	45.9
1964	36.4	38.3	35.3	39.6	45.2	53.6	54.7	55.4	52.7	46.3	36.8	26.1	43.4
1965	31.9	34.1	38.6	42.2	43.9	49.6	55.6	55.9	53.1	46.4	38.6	33.3	43.6
1966	29.4	35.9	37.9	40.9	44.4	52.8	56.0	55.1	53.2	42.7	35.7	35.7	43.3
1967	32.6	37.1	32.5	42.3	48.4	52.7	55.5	58.7	53.3	46.8	39.4	36.4	44.6
1968	30.2	37.6	40.0	39.2	49.0	52.3	57.1	58.5	51.5	44.0	41.0	31.5	44.3
1969	22.2	34.8	38.0	42.5	49.2	53.9	54.1	54.3	53.7	49.3	41.5	42.4	44.7
1970	33.0	41.6	41.4	41.1	46.2	51.3	53.4	53.8	51.2	45.5	38.9	31.2	44.1
1971	27.8	35.2	35.6	40.2	43.1	51.1	56.4	58.3	51.2	42.6	39.3	30.0	42.6
1972	25.6	29.5	34.9	36.8	46.8	50.7	56.5	56.5	51.0	43.8	41.4	34.7	42.4
1973	31.7	35.0	38.1	42.9	46.5	51.4	54.9	54.5	52.9	44.1	32.2	37.8	43.5
1974	28.4	35.9	35.8	42.6	47.0	50.9	55.6	57.7	54.5	47.1	40.7	39.2	44.6
1975	30.9	30.9	36.1	40.7	47.3	49.1	55.6	55.9	53.1	45.9	36.8	35.5	43.2
1976	36.5	33.1	36.6	43.8	45.2	50.8	57.9	56.4	53.3	46.2	43.8	39.7	45.3
1977	41.0	43.0	38.1	42.9	47.9	54.4	57.4	59.7	53.9	47.0	34.4	29.1	45.7
1978	35.1	39.7	38.4	44.0	47.7	52.9	55.7	58.5	54.0	47.6	37.7	35.8	45.6
1979	33.5	27.1	40.8	43.2	47.4	52.4	58.0	59.5	56.4	49.7	44.1	33.9	45.5
1980	31.4	40.9	38.8	44.1	48.5	53.1	56.2	56.3	52.1	48.8	42.2	31.6	45.3
1981	44.0	38.6	42.2	41.1	51.4	53.4	56.9	58.5	53.0	46.7	42.5	34.9	46.9
1982	29.0	31.8	37.1	39.3	44.8	51.9	55.3	55.6	53.4	45.4	37.0	38.1	43.2
1983	38.5	40.3	40.2	43.9	48.1	55.4	57.8	57.3	50.3	45.2	38.7	32.2	45.7
1984	38.2	38.5	42.4	44.0	48.4	52.2	55.1	57.0	53.0	44.4	37.9	34.4	45.5
1985	42.9	34.4	37.7	39.9	45.8	50.1	55.5	55.3	53.1	43.0	28.8	39.0	43.8
1986	39.4	33.7	39.3	38.3	46.2	51.3	55.0	55.9	55.1	50.6	39.4	41.4	45.5
1987	39.0	39.5	37.8	43.8	47.8	50.9	55.9	57.6	53.3	46.4	42.8	37.6	46.0
1988	35.1	37.9	39.5	41.7	48.6	53.9	55.7	57.2	50.8	47.3	41.6	37.1	45.5
1989	32.4	32.8	36.2	44.8	46.7	52.5	57.6	58.2	54.5	45.6	39.2	42.3	45.2
1990	34.1	32.6	39.9	44.9	49.2	54.6	57.8	59.1	54.2	43.7	34.7	32.7	44.8
1991	33.5	39.1	35.9	43.0	47.5	51.1	54.7	55.8	53.2	44.8	43.6	39.5	45.1
1992	40.9	38.8	39.8	43.4	47.6	53.0	55.7	56.2	48.7	44.2	42.0	34.3	45.4
