Weir Name,Stream Number,Year,Species,Maturity,Count,Weir Count Type
Hugh Smith,101-30-075,1980,Pink,Adult,3687,Counted live
Hugh Smith,101-30-075,1981,Pink,Adult,6064,Counted live
Hugh Smith,101-30-075,1982,Pink,Adult,9179,Counted live
Hugh Smith,101-30-075,1983,Pink,Adult,9054,Counted live
Hugh Smith,101-30-075,1984,Pink,Adult,1145,Counted live
Hugh Smith,101-30-075,1985,Pink,Adult,3835,Counted live
Hugh Smith,101-30-075,1986,Pink,Adult,2280,Counted live
Hugh Smith,101-30-075,1987,Pink,Adult,6341,Counted live
Hugh Smith,101-30-075,1988,Pink,Adult,11307,Counted live
Hugh Smith,101-30-075,1989,Pink,Adult,11327,Counted live
Hugh Smith,101-30-075,1990,Pink,Adult,11332,Counted live
Hugh Smith,101-30-075,1991,Pink,Adult,4312,Counted live
Hugh Smith,101-30-075,1992,Pink,Adult,4405,Counted live
Hugh Smith,101-30-075,1993,Pink,Adult,12098,Counted live
Hugh Smith,101-30-075,1994,Pink,Adult,4729,Counted live
Hugh Smith,101-30-075,1995,Pink,Adult,19214,Counted live
Hugh Smith,101-30-075,1996,Pink,Adult,50719,Counted live
Hugh Smith,101-30-075,1997,Pink,Adult,4966,Counted live
Hugh Smith,101-30-075,1998,Pink,Adult,5875,Counted live
Hugh Smith,101-30-075,1999,Pink,Adult,16088,Counted live
Hugh Smith,101-30-075,2000,Pink,Adult,1701,Counted live
Hugh Smith,101-30-075,2001,Pink,Adult,15124,Counted live
Hugh Smith,101-30-075,2002,Pink,Adult,12593,Counted live
Hugh Smith,101-30-075,2003,Pink,Adult,9935,Counted live
Hugh Smith,101-30-075,2004,Pink,Adult,11046,Counted live
Hugh Smith,101-30-075,2005,Pink,Adult,15207,Counted live
Hugh Smith,101-30-075,2006,Pink,Adult,7284,Counted live
Hugh Smith,101-30-075,2007,Pink,Adult,8790,Counted live
Hugh Smith,101-30-075,2008,Pink,Adult,9994,Counted live
Hugh Smith,101-30-075,2009,Pink,Adult,17853,Counted live
Hugh Smith,101-30-075,2010,Pink,Adult,10964,Counted live
Hugh Smith,101-30-075,2011,Pink,Adult,11167,Counted live
Hugh Smith,101-30-075,2012,Pink,Adult,4595,Counted live
Hugh Smith,101-30-075,2013,Pink,Adult,15859,Counted live
Hugh Smith,101-30-075,2014,Pink,Adult,13252,Counted live
Hugh Smith,101-30-075,2015,Pink,Adult,3721,Counted live
Hugh Smith,101-30-075,2016,Pink,Adult,1490,Counted live
Hugh Smith,101-30-075,2017,Pink,Adult,5871,Counted live
Hugh Smith,101-30-075,2018,Pink,Adult,1324,Counted live
Hugh Smith,101-30-075,2019,Pink,Adult,3547,Counted live
Hugh Smith,101-30-075,2020,Pink,Adult,3573,Counted live
Hugh Smith,101-30-075,2021,Pink,Adult,14896,Counted live
Hugh Smith,101-30-075,2022,Pink,Adult,14373,Counted live
Hugh Smith,101-30-075,2023,Pink,Adult,17938,Counted live
