Year,Agency,Fishery Name,Species,Source,Stat Week,Stat Area,AStream / Watershed Code,Harvest,Sample Date,Gear,Survey Site,#Rcvd,#Preps,Not Marked,Marked,%Marked,PORTARMSTRONG11,PORTARMSTRONG12,PORTARMSTRONG13,PORTARMSTRONG15,PORTARMSTRONG15A,PORTARMSTRONG15B,PORTARMSTRONG18,PORTARMSTRONG19,PORTARMSTRONG22,SJ09PINK,SJ10PINK,SJ11PINK,SJ12PINK,SJ13PINK,SJ14PINK,SJ15PINK,SJ16PINK,SJ17PINK,SJ18PINK,SJ19PINK,SJ21PINK,SJ22PINK
2024,ADFG,Silver Bay Cost Rec.,PINK,COST RECOVERY,32,11341,,PNP FISH,8/10/2024,PURSE SEINE,SITKA,143,137,47,90,66,,,,,,,,,1,,,,,,,,,,,,,89
2024,ADFG,Silver Bay Cost Rec.,PINK,COST RECOVERY,33,11341,,PNP FISH,8/15/2024,PURSE SEINE,SITKA,142,135,54,81,60,,,,,,,,,,,,,,,,,,,,,,81
2024 ADFG Silver Bay Cost Rec. PINK Total,,,,,,,,,,,,285,272,101,171,62.87%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170
2024,ADFG,,PINK,ESCAPEMENT SURVEY,38,11341,113-41-10190,,9/19/2024,NOT REQUIRED,SITKA,11,10,10,0,0,,,,,,,,,,,,,,,,,,,,,,
2024 ADFG ESCAPEMENT SURVEY PINK Total,,,,,,,,,,,,11,10,10,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,ADFG,,PINK,ESCAPEMENT SURVEY,36,10910,109-10-10230,,9/6/2023,NOT REQUIRED,SITKA,96,95,94,1,1,,,,,,,,,,,,,,,,,,,,,1,
2023 ADFG ESCAPEMENT SURVEY PINK Total,,,,,,,,,,,,96,95,94,1,1.05%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,ADFG,,PINK,ESCAPEMENT SURVEY,38,11341,113-41-10190,,9/15/2021,NOT REQUIRED,SITKA,96,93,77,16,17,,,,,,,,1,,,,,,,,,,,,15,,
2021,ADFG,,PINK,ESCAPEMENT SURVEY,40,11341,113-41-10190,,9/27/2021,NOT REQUIRED,SITKA,478,455,404,51,11,,,,,,,,10,,,,,,,,,,,,41,,
2021 ADFG ESCAPEMENT SURVEY PINK Total,,,,,,,,,,,,574,548,481,67,12.23%,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,56,0,0
2021,ADFG,,PINK,RACK RETURN,36,11341,,,9/3/2021,NOT REQUIRED,SHELDON JACKSON HATCHERY,32,31,31,0,0,,,,,,,,,,,,,,,,,,,,,,
2021,ADFG,,PINK,RACK RETURN,36,11341,,,8/31/2021,NOT REQUIRED,SHELDON JACKSON HATCHERY,35,32,3,29,91,,,,,,,,,,,,,,,,,,,,29,,
2021 ADFG RACK RETURN PINK Total,,,,,,,,,,,,67,63,34,29,46.03%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
2020,ADFG,Silver Bay Cost Rec.,PINK,COST RECOVERY,33,11341,,PNP FISH,8/11/2020,PURSE SEINE,SITKA,96,66,15,51,77,,,,,,,1,,,,,,,,,,,,50,,,
2020 ADFG Silver Bay Cost Rec. PINK Total,,,,,,,,,,,,96,66,15,51,77.27%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
2019,ADFG,Silver Bay Cost Rec.,PINK,COST RECOVERY,34,11341,,PNP FISH,8/22/2019,PURSE SEINE,SITKA,99,97,11,86,89,,,,,,,,,,,,,,,,,,86,,,,
2019 ADFG Silver Bay Cost Rec. PINK Total,,,,,,,,,,,,99,97,11,86,88.66%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0
2018,ADFG,,PINK,ESCAPEMENT SURVEY,37,11341,113-41-10190,,9/14/2018,NOT REQUIRED,SITKA,100,98,64,34,35,,,,,,,,,,,,,,,,,34,,,,,
2018,ADFG,,PINK,ESCAPEMENT SURVEY,39,11341,113-41-10190,,9/26/2018,NOT REQUIRED,SITKA,53,51,45,6,12,,,,,,,,,,,,,,,,,6,,,,,
2018,ADFG,,PINK,ESCAPEMENT SURVEY,40,11341,113-41-10190,,10/2/2018,NOT REQUIRED,SITKA,47,47,47,0,0,,,,,,,,,,,,,,,,,,,,,,
2018 ADFG ESCAPEMENT SURVEY PINK Total,,,,,,,,,,,,200,196,156,40,20.41%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
2017,ADFG,Silver Bay Cost Rec.,PINK,COST RECOVERY,30,11341,,PNP FISH,7/25/2017,PURSE SEINE,SITKA,86,82,4,78,95,,,,,,,,,,,,,,,,78,,,,,,
2017 ADFG Silver Bay Cost Rec. PINK Total,,,,,,,,,,,,86,82,4,78,95.12%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
2017,ADFG,,PINK,ESCAPEMENT SURVEY,35,11341,113-41-10190,,8/31/2017,NOT REQUIRED,SITKA,100,96,19,77,80,,,,,,,,,,,,,,,,77,,,,,,
2017,ADFG,,PINK,ESCAPEMENT SURVEY,41,11341,113-41-10190,,10/11/2017,NOT REQUIRED,SITKA,48,47,46,1,2,,,,1,,,,,,,,,,,,,,,,,,
2017 ADFG ESCAPEMENT SURVEY PINK Total,,,,,,,,,,,,148,143,65,78,54.55%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
2017,ADFG,,PINK,RACK RETURN,37,11341,,,9/15/2017,NOT REQUIRED,SHELDON JACKSON HATCHERY,17,14,6,8,57,,,,,,,,,,,,,,,,8,,,,,,
2017,ADFG,,PINK,RACK RETURN,38,11341,,,9/19/2017,NOT REQUIRED,SHELDON JACKSON HATCHERY,82,69,37,32,46,,,,4,5,1,,,,,,,,,,22,,,,,,
2017 ADFG RACK RETURN PINK Total,,,,,,,,,,,,99,83,43,40,48.19%,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
2016,ADFG,Silver Bay Cost Rec.,PINK,COST RECOVERY,34,11341,,PNP FISH,8/14/2016,PURSE SEINE,SITKA,50,50,4,46,92,,,,,,,,,,,,,,,46,,,,,,,
2016 ADFG Silver Bay Cost Rec. PINK Total,,,,,,,,,,,,50,50,4,46,92.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
