"","strID","varE","varO"
"(X.Y1,X.Y1)","109-10-009",0.0760196061561063,0.11656129666278
"(X.Y2,X.Y2)","109-10-023",7.30473723466988e-13,5.51663334125477e-10
"(X.Y3,X.Y3)","109-10-028",1.49066936810481e-14,0.032062147161188
"(X.Y4,X.Y4)","109-20-007",0.156045920657034,3.52476220446306e-10
"(X.Y5,X.Y5)","109-20-016",0.0290128809884504,0.0215954978859962
"(X.Y6,X.Y6)","109-30-001",0.0830153182407255,1.66377032081476e-11
"(X.Y7,X.Y7)","109-30-003",0.0737575682525481,0.0826570287167586
"(X.Y8,X.Y8)","109-30-004",2.70148969965754e-14,5.86340135128435e-18
"(X.Y9,X.Y9)","109-30-005",0.0504698796438728,2.05080736694084e-13
"(X.Y10,X.Y10)","109-30-006",3.04942726247734e-16,2.18041639942488e-10
"(X.Y11,X.Y11)","109-30-008",2.71670976731753e-12,9.40381700609699e-11
"(X.Y12,X.Y12)","109-30-010",0.135012047229201,1.9405519960518e-12
"(X.Y13,X.Y13)","109-30-011",0.0513722261391005,9.27480542938351e-13
"(X.Y14,X.Y14)","109-30-013",0.0469685830593037,1.51768005587864e-10
"(X.Y15,X.Y15)","109-30-016",0.102504015095883,9.95272499174194e-11
"(X.Y16,X.Y16)","109-30-017",1.45053749057935e-05,3.29974072405243e-10
"(X.Y17,X.Y17)","109-42-001",3.59708336031801e-15,0.0577753603900839
"(X.Y18,X.Y18)","109-42-005",0.0847108136459392,1.88025687378404e-12
"(X.Y19,X.Y19)","109-42-009",3.23528513505122e-12,2.70459693495647e-10
"(X.Y20,X.Y20)","109-42-010",1.02176287763357e-16,7.53734392629493e-11
"(X.Y21,X.Y21)","109-42-030",1.33952901288223e-11,2.40532053804868e-10
"(X.Y22,X.Y22)","109-44-037",0.0435735823395497,4.38603616756764e-13
"(X.Y23,X.Y23)","109-44-039",4.96938734263195e-14,1.77925698843602e-10
"(X.Y24,X.Y24)","109-45-010",4.67655960401472e-14,5.45816868491721e-13
"(X.Y25,X.Y25)","109-45-013",0.0700247181942304,0.0722810527538985
"(X.Y26,X.Y26)","109-45-015",1.59415241497684e-21,2.15129546301802e-17
"(X.Y27,X.Y27)","109-45-016",0.081612127139333,4.00136926140346e-13
"(X.Y28,X.Y28)","109-45-017",0.142706745013581,8.66156840384439e-12
"(X.Y29,X.Y29)","109-51-005",3.29046698835592e-13,1.31111726653918e-10
"(X.Y30,X.Y30)","109-51-011",0.0439738979767114,0.0434290212199558
"(X.Y31,X.Y31)","109-52-001",0.134275629368455,4.37945286792776e-11
"(X.Y32,X.Y32)","109-52-002",0.111429919436035,3.03281741238893e-10
"(X.Y33,X.Y33)","109-52-004",0.0405805263927124,2.25010671126481e-12
"(X.Y34,X.Y34)","109-52-005",2.25009020192183e-20,9.08717979872732e-13
"(X.Y35,X.Y35)","109-52-008",3.70670967852212e-14,7.11932302036721e-12
"(X.Y36,X.Y36)","109-52-030",1.69614035737846e-11,2.8850038599249e-11
"(X.Y37,X.Y37)","109-52-035",1.13020326224078e-12,4.98386092244947e-14
"(X.Y38,X.Y38)","109-52-050",0.0591263734287324,6.46085776579051e-11
"(X.Y39,X.Y39)","109-52-055",0.160452705993087,0.1087003194066
"(X.Y40,X.Y40)","109-62-003",0.103617159807638,0.0740716080074725
"(X.Y41,X.Y41)","109-62-009",7.17508652295035e-14,1.84329855775835e-10
"(X.Y42,X.Y42)","109-62-010",2.61933868425152e-15,4.53833677799694e-11
"(X.Y43,X.Y43)","109-62-011",4.62350869030345e-16,1.68915236902086e-12
"(X.Y44,X.Y44)","109-62-012",1.61227327110439e-11,4.620327148523e-10
"(X.Y45,X.Y45)","109-62-013",1.21251588754128e-11,4.8202089738062e-11
"(X.Y46,X.Y46)","109-62-014",1.76434687399474e-14,8.96031064902594e-11
"(X.Y47,X.Y47)","109-62-015",0.0877142597613208,4.42040726958338e-10
"(X.Y48,X.Y48)","109-62-017",2.01959893345946e-11,6.12073404996831e-12
"(X.Y49,X.Y49)","109-62-018",7.44828836261375e-12,4.34596857174722e-11
"(X.Y50,X.Y50)","109-62-020",2.17904942852399e-11,2.43255509476979e-10
"(X.Y51,X.Y51)","109-62-022",9.81362677368759e-12,8.81150770462032e-11
"(X.Y52,X.Y52)","109-62-024",1.68765514153108e-11,2.39621894947879e-10
"(X.Y53,X.Y53)","109-62-026",1.96252095854917e-11,8.62737391067131e-19
"(X.Y54,X.Y54)","109-62-028",1.6341840088002e-11,8.41391551570112e-12
"(X.Y55,X.Y55)","109-62-029",6.40554376015913e-12,2.6033958954863e-10
"(X.Y56,X.Y56)","109-62-030",0.0536267525454396,0.0355841047931322
"(X.Y57,X.Y57)","109-62-031",1.19252114330164e-13,1.13243726369094e-10
"(X.Y58,X.Y58)","109-62-036",9.04281588244907e-13,3.29850404861656e-11
"(X.Y59,X.Y59)","109-62-038",0.170639623230015,2.7972207834146e-10
"(X.Y60,X.Y60)","109-63-001",6.32561726986049e-12,0.0738455167154525
"(X.Y61,X.Y61)","109-63-002",2.11745460945397e-11,6.74214313763503e-13
"(X.Y62,X.Y62)","109-63-003",2.86631683630848e-12,9.35187327199554e-11
"(X.Y63,X.Y63)","109-63-005",1.26083604922154e-11,2.0234738328411e-10
"(X.Y64,X.Y64)","109-63-012",3.51516349551057e-17,8.75055327839427e-12
"(X.Y65,X.Y65)","109-63-015",3.85135906250963e-12,0.0366050207750534
