strID,var,sclvar,STREAM
113-73-010,0.0464357,-0.923359721,Slocum Arm Head
113-44-003,0.046720366,-0.922460027,Katlian River
113-81-010,0.052969822,-0.902708429,Black Bay North Head
113-32-004,0.065590059,-0.862821787,W Crawfish N Arm NE
113-73-012,0.066891653,-0.858708059,Khaz Creek
113-81-011,0.075055458,-0.832906104,Black River
113-66-003,0.075243132,-0.832312956,Marine Cove
113-95-004,0.078467878,-0.822121049,Phonograph Ck Lis In
113-41-019,0.079364961,-0.819285789,Indian River
113-81-003,0.080600236,-0.815381665,Goulding Harbor Head
113-95-006,0.1001743,-0.75351724,Lisianski River
113-32-005,0.100763836,-0.751653992,W Crawfish NE Arm Hd
113-73-003,0.104092094,-0.741134934,Lake Stream Ford Arm
113-66-006,0.10669878,-0.732896423,St. John Baptist Hd
113-72-004,0.127985724,-0.665618386,Rust Crk Sister Lake
113-96-002,0.13992671,-0.627878538,Saltery Rvr Stag Bay
113-65-005,0.142030505,-0.62122943,Fish Bay S Side Head
113-65-004,0.142270948,-0.620469501,Fish Bay Creek
113-42-002,0.15017112,-0.595500767,Limit Ck Nakwasina P
113-73-004,0.150562348,-0.59426428,South Ford Arm
113-22-008,0.15161494,-0.590937529,Politofski Lk Outlet
113-43-002,0.15898311,-0.567650204,Nakwasina River
113-64-001,0.160721721,-0.562155272,Deep Bay Head
113-41-034,0.164208134,-0.551136356,Camp Coogan
113-95-003,0.165989801,-0.545505344,Pelican Creek
113-43-005,0.205686103,-0.420043972,Liza Ck NakwasinaSnd
113-41-032,0.217141695,-0.383838224,Salmon Lake Stream
113-95-007,0.226968226,-0.352781174,Steelhead R SW Lis I
113-62-006,0.23694435,-0.32125133,Sukoi Inlet W Side
113-57-005,0.243668263,-0.3000002,Patterson Bay W Head
113-41-042,0.250176065,-0.279432093,Kizhuchia Ck Red Bay
113-73-006,0.258581336,-0.252866976,Waterfall Cove Creek
113-22-018,0.261141996,-0.244773933,Whale Bay Grt Arm E
113-22-015,0.262810244,-0.239501384,Whale Bay Grt Arm Hd
113-44-005,0.270894799,-0.213949902,Katlian Bay S. Fork
113-62-008,0.298920155,-0.125374911,Sinitsin Cove Head
113-42-003,0.29948897,-0.123577155,Noxen Creek
113-58-002,0.372629284,0.107585036,Hoonah Snd N Arm Wst
113-57-001,0.405998871,0.213050631,Fick Cove Head
113-56-002,0.41231634,0.233017185,Ushk Bay SW End
113-57-009,0.452822664,0.361038657,Hoonah Snd S Arm Hd
113-56-003,0.513330645,0.552275971,Ushk Bay W End
113-59-007,0.569482144,0.729744495,Sitkoh Bay Head
113-54-007,0.582307237,0.770278593,Rodman Creek
113-53-003,0.666761507,1.037198886,Saook Bay West Head
113-51-004,0.700409873,1.143545569,Peril Sts N-False Is
113-52-004,0.718010019,1.199171366,Hanus Bay
113-51-001,0.871182648,1.683278126,Broad Creek
113-51-002,0.885535196,1.728639793,Oly Creek
113-57-002,0.982325198,2.034547541,Hoonah Snd S Arm SW
113-59-004,1.009163634,2.119371236,Sitkoh Lake Creek
113-55-005,1.09821659,2.400825814,West Broad Creek
113-54-005,1.134230872,2.514650049,Appleton Cove W Head
113-55-001,1.143133187,2.542786087,Finger River
