STREAM_NO,STREAM
113-22-006,Whale Bay Sm Arm NW
113-22-008,Politofski Lk Outlet
113-22-015,Whale Bay Grt Arm Hd
113-22-018,Whale Bay Grt Arm E
113-32-004,W Crawfish N Arm NE
113-32-005,W Crawfish NE Arm Hd
113-40-015,Starrigavin Creek
113-40-017,Granite Creek
113-41-032,Salmon Lake Stream
113-41-034,Camp Coogan
113-41-042,Kizhuchia Ck Red Bay
113-41-13B,Eagle River
113-42-002,Limit Ck Nakwasina P
113-42-003,Noxen Creek
113-43-002,Nakwasina River
113-43-005,Liza Ck NakwasinaSnd
113-44-003,Katlian River
113-44-005,Katlian Bay S. Fork
113-51-001,Broad Creek
113-51-002,Oly Creek
113-51-004,Peril Sts N-False Is
113-52-004,Hanus Bay
113-53-003,Saook Bay West Head
113-54-005,Appleton Cove W Head
113-54-007,Rodman Creek
113-55-001,Finger River
113-55-005,West Broad Creek
113-56-002,Ushk Bay SW End
113-56-003,Ushk Bay W End
113-57-001,Fick Cove Head
113-57-002,Hoonah Snd S Arm SW
113-57-005,Patterson Bay W Head
113-57-009,Hoonah Snd S Arm Hd
113-58-002,Hoonah Snd N Arm Wst
113-58-003,Granite Creek N Arm
113-58-004,Hoonah Sound N Head
113-59-004,Sitkoh Lake Creek
113-59-007,Sitkoh Bay Head
113-62-006,Sukoi Inlet W Side
113-62-008,Sinitsin Cove Head
113-62-012,Sukoi Inlet SE Head
113-64-001,Deep Bay Head
113-65-004,Fish Bay Creek
113-65-005,Fish Bay S Side Head
113-66-003,Marine Cove
113-66-006,St. John Baptist Hd
113-72-004,Rust Crk Sister Lake
113-72-005,Sister Lake SE Head
113-73-003,Lake Stream Ford Arm
113-73-004,South Ford Arm
113-73-006,Waterfall Cove Creek
113-73-010,Slocum Arm Head
113-73-012,Khaz Creek
113-81-003,Goulding Harbor Head
113-81-010,Black Bay North Head
113-81-011,Black River
113-95-003,Pelican Creek
113-95-004,Phonograph Ck Lis In
113-95-006,Lisianski River
113-95-007,Steelhead R SW Lis I
113-96-002,Saltery Rvr Stag Bay
