"","strID","var"
"(X1,X1)","109-10-009",0.181718357160581
"(X2,X2)","109-10-023",1.27730170505242e-09
"(X3,X3)","109-10-028",0.132626586347996
"(X4,X4)","109-20-007",0.0405632405029495
"(X5,X5)","109-20-016",0.0547640052508006
"(X6,X6)","109-30-001",0.0611249670408579
"(X7,X7)","109-30-003",0.131344464030466
"(X8,X8)","109-30-004",0.0843675167349531
"(X9,X9)","109-30-005",0.0862170677665457
"(X10,X10)","109-30-006",3.2622476055218e-10
"(X11,X11)","109-30-008",1.77604331873107e-11
"(X12,X12)","109-30-010",0.0727456089029201
"(X13,X13)","109-30-011",0.0536563583659544
"(X14,X14)","109-30-013",0.029368550202575
"(X15,X15)","109-30-016",6.6147192053879e-10
"(X16,X16)","109-30-017",1.16677539504027e-12
"(X17,X17)","109-42-001",0.0573453339216939
"(X18,X18)","109-42-005",0.0613956399132819
"(X19,X19)","109-42-009",2.95661959841328e-09
"(X20,X20)","109-42-010",1.57903351561678e-09
"(X21,X21)","109-42-030",4.94825191523665e-09
"(X22,X22)","109-44-037",0.0905359386226642
"(X23,X23)","109-44-039",3.49911629390125e-12
"(X24,X24)","109-45-010",2.02039037995139e-09
"(X25,X25)","109-45-013",0.0911090218195037
"(X26,X26)","109-45-015",0.0657056802666032
"(X27,X27)","109-45-016",0.0756489466621927
"(X28,X28)","109-45-017",0.151778791462163
"(X29,X29)","109-51-005",2.07021305067619e-09
"(X30,X30)","109-51-011",0.0710535064506772
"(X31,X31)","109-52-001",0.0495511604461657
"(X32,X32)","109-52-002",5.43125601458859e-10
"(X33,X33)","109-52-004",0.0727731803889315
"(X34,X34)","109-52-005",0.0460345581524675
"(X35,X35)","109-52-008",0.0256911604927723
"(X36,X36)","109-52-030",1.60144120946639e-09
"(X37,X37)","109-52-035",1.31098361468198e-10
"(X38,X38)","109-52-050",0.0333434481170803
"(X39,X39)","109-52-055",0.14276349384077
"(X40,X40)","109-62-003",0.115350088177145
"(X41,X41)","109-62-009",2.79893853738764e-12
"(X42,X42)","109-62-010",0.0243413270100015
"(X43,X43)","109-62-011",0.0310270548776911
"(X44,X44)","109-62-012",3.49864724536016e-09
"(X45,X45)","109-62-013",7.07978103393192e-09
"(X46,X46)","109-62-014",3.39989348628775e-13
"(X47,X47)","109-62-015",2.43428630290444e-09
"(X48,X48)","109-62-017",3.0745108739691e-09
"(X49,X49)","109-62-018",4.26219821325753e-09
"(X50,X50)","109-62-020",6.35668991429453e-09
"(X51,X51)","109-62-022",4.04903320686042e-09
"(X52,X52)","109-62-024",5.95203524866323e-09
"(X53,X53)","109-62-026",5.48212027679399e-10
"(X54,X54)","109-62-028",4.31829614830017e-09
"(X55,X55)","109-62-029",3.20645233982145e-09
"(X56,X56)","109-62-030",0.0695780404261027
"(X57,X57)","109-62-031",1.65379782780243e-10
"(X58,X58)","109-62-036",2.51928535274841e-09
"(X59,X59)","109-62-038",0.0990556196000108
"(X60,X60)","109-63-001",0.031960872655573
"(X61,X61)","109-63-002",0.0175121933763465
"(X62,X62)","109-63-003",1.98155665025043e-09
"(X63,X63)","109-63-005",2.37534351806344e-09
"(X64,X64)","109-63-012",0.0145442424491542
"(X65,X65)","109-63-015",0.040990949955205
"(X66,X66)","109-63-017",5.188293284376e-09
"(X67,X67)","110-11-003",0.0459324244454816
"(X68,X68)","110-13-004",3.85177645030315e-11
"(X69,X69)","110-14-005",3.92715953550733e-11
"(X70,X70)","110-14-007",3.71226275847574e-09
