strID,var,sclvar
109-10-009,0.076019606,0.933991244
109-10-023,7.30E-13,-0.639795849
109-10-028,1.49E-14,-0.639795849
109-20-007,0.156045921,2.590726753
109-20-016,0.029012881,-0.03916004
109-30-001,0.083015318,1.078819163
109-30-003,0.073757568,0.887161666
109-30-004,2.70E-14,-0.639795849
109-30-005,0.05046988,0.405050989
109-30-006,3.05E-16,-0.639795849
109-30-008,2.72E-12,-0.639795849
109-30-010,0.135012047,2.155275424
109-30-011,0.051372226,0.423731713
109-30-013,0.046968583,0.332565802
109-30-016,0.102504015,1.482281653
109-30-017,1.45E-05,-0.639495554
109-42-001,3.60E-15,-0.639795849
109-42-005,0.084710814,1.113919961
109-42-009,3.24E-12,-0.639795849
109-42-010,1.02E-16,-0.639795849
109-42-030,1.34E-11,-0.639795849
109-44-037,0.043573582,0.262281193
109-44-039,4.97E-14,-0.639795849
109-45-010,4.68E-14,-0.639795849
109-45-013,0.070024718,0.80988277
109-45-015,1.59E-21,-0.639795849
109-45-016,0.081612127,1.049769762
109-45-017,0.142706745,2.314574014
109-51-005,3.29E-13,-0.639795849
109-51-011,0.043973898,0.270568681
109-52-001,0.134275629,2.140029818
109-52-002,0.111429919,1.667069154
109-52-004,0.040580526,0.200317799
109-52-005,2.25E-20,-0.639795849
109-52-008,3.71E-14,-0.639795849
109-52-030,1.70E-11,-0.639795849
109-52-035,1.13E-12,-0.639795849
109-52-050,0.059126373,0.58426105
109-52-055,0.160452706,2.681957716
109-62-003,0.10361716,1.505326403
109-62-009,7.18E-14,-0.639795849
109-62-010,2.62E-15,-0.639795849
109-62-011,4.62E-16,-0.639795849
109-62-012,1.61E-11,-0.639795849
109-62-013,1.21E-11,-0.639795849
109-62-014,1.76E-14,-0.639795849
109-62-015,0.08771426,1.176098456
109-62-017,2.02E-11,-0.639795849
109-62-018,7.45E-12,-0.639795849
109-62-020,2.18E-11,-0.639795849
109-62-022,9.81E-12,-0.639795849
109-62-024,1.69E-11,-0.639795849
109-62-026,1.96E-11,-0.639795849
109-62-028,1.63E-11,-0.639795849
109-62-029,6.41E-12,-0.639795849
109-62-030,0.053626753,0.470405785
109-62-031,1.19E-13,-0.639795849
109-62-036,9.04E-13,-0.639795849
109-62-038,0.170639623,2.89285119
109-63-001,6.33E-12,-0.639795849
109-63-002,2.12E-11,-0.639795849
109-63-003,2.87E-12,-0.639795849
109-63-005,1.26E-11,-0.639795849
109-63-012,3.52E-17,-0.639795849
109-63-015,3.85E-12,-0.639795849
109-63-017,1.26E-11,-0.639795849
110-11-003,1.26E-13,-0.639795849
110-13-004,2.14E-14,-0.639795849
110-14-005,0.035517023,0.095491201
110-14-007,7.90E-12,-0.639795849
110-14-008,0.058086278,0.562728599
110-15-003,8.83E-12,-0.639795849
110-16-002,2.21E-11,-0.639795849
110-16-007,1.77E-16,-0.639795849
110-16-013,1.58E-12,-0.639795849
110-16-014,0.09141452,1.252702658
110-17-005,0.037621821,0.139065536
110-21-004,1.15E-12,-0.639795849
110-21-005,0.130796199,2.067997318
110-22-002,0.076519242,0.944334892
110-22-004,5.11E-13,-0.639795849
110-22-006,8.58E-15,-0.639795849
110-22-008,4.39E-13,-0.639795849
110-22-009,1.09E-15,-0.639795849
110-22-014,0.146864471,2.40064886
110-23-004,0.08177998,1.053244723
110-23-005,8.97E-13,-0.639795849
110-23-006,0.185094741,3.192106597
110-23-008,2.26E-25,-0.639795849
110-23-010,1.02E-13,-0.639795849
110-23-012,0.101943426,1.470676116
110-23-019,0.062758133,0.659447138
110-31-001,0.067412755,0.755808902
110-32-002,9.03E-12,-0.639795849
110-32-007,8.80E-12,-0.639795849
110-32-009,0.131991229,2.092737292
110-32-014,1.70E-11,-0.639795849
110-33-006,2.50E-16,-0.639795849
110-33-008,1.95E-11,-0.639795849
110-33-013,2.58E-17,-0.639795849
110-34-001,4.23E-13,-0.639795849
110-34-002,6.96E-18,-0.639795849
110-34-003,0.172664412,2.934769155
110-34-006,1.14E-23,-0.639795849
110-34-008,3.14E-14,-0.639795849
110-34-012,2.87E-13,-0.639795849
110-34-013,0.071247192,0.83519089
110-34-014,5.50E-18,-0.639795849
112-12-005,0.116484325,1.771707397
112-12-008,4.63E-18,-0.639795849
112-12-034,0.039764267,0.183419285
112-12-046,2.86E-14,-0.639795849
112-12-050,0.091300957,1.250351646
112-13-006,5.18E-14,-0.639795849
112-15-054,3.62E-14,-0.639795849
112-15-062,1.34E-11,-0.639795849
112-16-030,4.47E-12,-0.639795849
112-17-012,1.62E-14,-0.639795849
112-17-016,5.40E-13,-0.639795849
112-17-025,7.92E-13,-0.639795849
112-17-030,7.51E-12,-0.639795849
112-17-040,0.078933212,0.994309838
112-17-050,8.94E-12,-0.639795849
112-19-010,0.100073563,1.431965498
112-19-015,4.74E-12,-0.639795849
112-21-005,2.59E-14,-0.639795849
112-21-006,0.061064936,0.624393907
112-21-008,3.00E-14,-0.639795849
112-21-009,1.22E-11,-0.639795849
112-41-010,0.190632713,3.306755821
112-42-008,0.098540729,1.400232173
112-42-016,0.10591783,1.552955755
112-42-025,0.118381067,1.810974484
112-42-032,0.094814396,1.323088201
112-43-002,3.56E-22,-0.639795849
112-44-010,7.83E-16,-0.639795849
112-45-032,0.15706849,2.611896375
112-45-036,1.05E-12,-0.639795849
112-46-004,1.08E-11,-0.639795849
112-47-010,0.101924181,1.470277696
112-48-015,0.118410974,1.811593624
112-48-019,1.49E-14,-0.639795849
112-48-023,0.053988091,0.477886349
112-48-035,2.63E-19,-0.639795849
112-50-005,8.41E-12,-0.639795849
112-50-030,0.109484338,1.626790978
112-50-032,2.80E-18,-0.639795849
112-50-038,0.0574366,0.549278708
112-61-006,0.049601873,0.387081174
112-61-008,1.01E-12,-0.639795849
112-61-010,2.23E-13,-0.639795849
112-63-012,2.11E-11,-0.639795849
112-63-013,1.76E-13,-0.639795849
112-65-012,0.037176195,0.12984002
112-65-014,0.060156389,0.60558483
112-65-015,0.058201553,0.565115056
112-65-028,0.025001077,-0.122213943
112-67-035,0.105630866,1.547014912
112-67-060,0.061247325,0.628169804
112-67-080,0.201424779,3.530177311
112-71-024,3.31E-13,-0.639795849
112-72-011,6.24E-23,-0.639795849
112-72-012,5.97E-12,-0.639795849
112-73-017,0.10126929,1.456719895
112-73-020,0.040737382,0.203565087
112-73-024,0.09207379,1.266351131
112-73-030,6.90E-13,-0.639795849
112-80-028,0.083693069,1.092850214
112-90-014,0.080274344,1.022074471
112-90-016,1.91E-12,-0.639795849
113-22-008,2.65E-13,-0.639795849
113-22-015,0.030526146,-0.007831845
113-22-018,0.016597416,-0.296189763
113-32-004,1.39E-13,-0.639795849
113-32-005,1.32E-11,-0.639795849
113-41-019,4.66E-11,-0.639795848
113-41-032,2.96E-12,-0.639795849
113-41-034,1.55E-11,-0.639795849
113-41-042,1.04E-12,-0.639795849
113-42-002,1.18E-11,-0.639795849
113-42-003,4.74E-13,-0.639795849
113-43-002,9.72E-12,-0.639795849
113-43-005,2.35E-11,-0.639795849
113-44-003,2.72E-11,-0.639795849
113-44-005,3.07E-20,-0.639795849
113-51-001,4.71E-12,-0.639795849
113-51-002,7.93E-30,-0.639795849
113-51-004,1.45E-11,-0.639795849
113-52-004,0.03225727,0.028006544
113-53-003,0.091298626,1.250303388
113-54-005,7.13E-12,-0.639795849
113-54-007,0.030965364,0.001261008
113-55-001,6.95E-13,-0.639795849
113-55-005,1.50E-13,-0.639795849
113-56-002,0.093525808,1.29641137
113-56-003,0.098005965,1.389161301
113-57-001,0.153612064,2.540340118
113-57-002,0.073213106,0.875889991
113-57-005,0.114274548,1.725959747
113-57-009,0.058608231,0.573534272
113-58-002,0.105356089,1.541326376
113-59-004,9.14E-18,-0.639795849
113-59-007,1.65E-12,-0.639795849
113-62-006,4.22E-17,-0.639795849
113-62-008,1.10E-11,-0.639795849
113-64-001,0.035117001,0.0872098
113-65-004,1.06E-11,-0.639795849
113-65-005,1.66E-11,-0.639795849
113-66-003,3.03E-11,-0.639795849
113-66-006,3.02E-11,-0.639795849
113-72-004,7.50E-19,-0.639795849
113-73-003,1.30E-11,-0.639795849
113-73-004,2.97E-11,-0.639795849
113-73-006,3.28E-12,-0.639795849
113-73-010,3.34E-11,-0.639795849
113-73-012,3.40E-11,-0.639795849
113-81-003,2.52E-11,-0.639795849
113-81-010,2.56E-11,-0.639795849
113-81-011,2.88E-12,-0.639795849
113-95-003,2.73E-14,-0.639795849
